mu_bp_per_gen,p_HGT_thyA_per_div,p_HGT_dapA_per_div,V_reactor_L,rho_max_per_L,g_per_day,T_days,L_target_bp,N_total_cells,G_total_generations,p_combined_per_div,P_escape_30d
1.252697e-09,6.577795e-14,4.113003e-13,1.442258e+01,1.590671e+09,4.785003e+00,2.686407e+01,4.420344e+02,2.294158e+10,1.285447e+02,1.498102e-32,4.417930e-20
1.008580e-09,1.690028e-11,3.501410e-13,2.472137e+02,1.834105e+08,5.794537e+00,1.903539e+01,6.238301e+02,4.534157e+10,1.103013e+02,3.723175e-30,1.862047e-17
2.386352e-09,1.038960e-11,6.051080e-13,9.352394e+02,2.153275e+08,2.338280e+00,2.391183e+01,8.127596e+02,2.013827e+11,5.591255e+01,1.219350e-29,1.372967e-16
1.861733e-10,2.210398e-12,2.835942e-12,2.030061e+01,5.634340e+09,4.406378e+00,3.334458e+01,3.688006e+02,1.143805e+11,1.469288e+02,4.304044e-31,7.233289e-18
3.235152e-10,2.766508e-11,2.261896e-12,1.471041e+03,4.460128e+08,3.665036e+00,1.894940e+01,6.900595e+02,6.561031e+11,6.945024e+01,1.396966e-29,6.365489e-16
3.673295e-10,6.848200e-13,5.367362e-13,1.764230e+02,1.645836e+09,2.798686e+00,3.241858e+01,3.009777e+02,2.903633e+11,9.072942e+01,4.063754e-32,1.070575e-18
6.373475e-09,4.562734e-13,6.070747e-14,5.778887e+02,1.437922e+08,5.454468e+00,1.674206e+01,4.159333e+02,8.309589e+10,9.131903e+01,7.342893e-32,5.571960e-19
5.369931e-09,1.080335e-13,7.627814e-14,1.582572e+01,7.311820e+08,5.354168e+00,1.860539e+01,6.172792e+02,1.157148e+10,9.961638e+01,2.731548e-32,3.148679e-20
3.414894e-10,4.463013e-14,9.298674e-11,3.733409e+03,5.601818e+08,4.358700e+00,2.515909e+01,6.858652e+02,2.091388e+12,1.096609e+02,9.719974e-31,2.229213e-16
1.390658e-09,7.500646e-13,1.619265e-12,3.040044e+02,1.703697e+08,2.200690e+00,3.821596e+01,8.399150e+02,5.179312e+10,8.410147e+01,1.418640e-30,6.179422e-18
2.718825e-09,6.200405e-12,3.509947e-11,3.067871e+02,6.576165e+09,5.448625e+00,2.527555e+01,6.818835e+02,2.017483e+12,1.377170e+02,4.034707e-28,1.121010e-13
1.511961e-10,1.886148e-11,3.428092e-14,1.677736e+03,1.828617e+08,2.218287e+00,1.838329e+01,8.739686e+02,3.067937e+11,4.077942e+01,8.544067e-32,1.068937e-18
5.320132e-10,1.175606e-13,2.270839e-13,8.438562e+03,5.337332e+08,5.652282e+00,1.617051e+01,9.143528e+02,4.503941e+12,9.140030e+01,1.298627e-32,5.345948e-18
3.196083e-09,4.484175e-13,3.087284e-11,3.516991e+01,4.927882e+08,3.956446e+00,3.425923e+01,9.919529e+02,1.733132e+10,1.355448e+02,4.389026e-29,1.031057e-16
4.637539e-09,1.315677e-14,2.800912e-11,6.330641e+01,1.152538e+09,7.572318e+00,1.864486e+01,8.561567e+02,7.296306e+10,1.411848e+02,1.463153e-30,1.507234e-17
7.005660e-09,1.567700e-13,6.931901e-12,1.671049e+03,1.996589e+09,5.337322e+00,3.551046e+01,8.733350e+02,3.336398e+12,1.895307e+02,6.648832e-30,4.204389e-15
1.014182e-09,4.789881e-14,1.109339e-12,9.044590e+02,9.237599e+08,6.328730e+00,3.192169e+01,7.275922e+02,8.355030e+11,2.020238e+02,3.920967e-32,6.618257e-18
1.497477e-09,1.884009e-12,1.012071e-12,3.202488e+02,4.100888e+09,3.755873e+00,2.767605e+01,4.295969e+02,1.313305e+12,1.039477e+02,1.226635e-30,1.674541e-16
3.757113e-10,1.202217e-14,6.367927e-11,3.017735e+02,4.211242e+09,5.005163e+00,1.553762e+01,3.744689e+02,1.270841e+12,7.776835e+01,1.077087e-31,1.064499e-17
